recommendation_id,recommendation_type,title,action_text,priority_score,severity,confidence,estimated_revenue_impact,impact_summary,status,due_date,generated_at
REC_AC_AC00013,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.87,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-21,2026-07-01
REC_AC_AC00014,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.88,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-22,2026-07-01
REC_AC_AC00015,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.74,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-23,2026-07-01
REC_AC_AC00016,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.75,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-24,2026-07-01
REC_AC_AC00017,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.76,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-25,2026-07-01
REC_AC_AC00018,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.77,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-26,2026-07-01
REC_AC_AC00019,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.78,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-27,2026-07-01
REC_AC_AC00020,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.79,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-08,2026-07-01
REC_AC_AC00021,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.8,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-09,2026-07-01
REC_AC_AC00022,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.81,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-10,2026-07-01
REC_AC_AC00023,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.82,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-11,2026-07-01
REC_AC_AC00024,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.83,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-12,2026-07-01
REC_AC_AC00025,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.84,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-13,2026-07-01
REC_AC_AC00026,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.85,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-14,2026-07-01
REC_AC_AC00027,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.86,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-15,2026-07-01
REC_AC_AC00028,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.87,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-16,2026-07-01
REC_AC_AC00029,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.88,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-17,2026-07-01
REC_AC_AC00030,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.74,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-18,2026-07-01
