activity_id,activity_type,activity_date,subject,notes_summary,outcome,next_step,status,advisor_id,household_id,account_id
CRM00002347,Prospecting,2023-07-08 00:00:00,Prospecting with HH00643,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Create opportunity,Active,ADV0045,HH00643,ACCT001937
CRM00002348,Follow-up,2024-08-21 00:00:00,Follow-up with HH00647,Client expressed interest in tax-aware investment approach.,Not Interested,No action,Active,ADV0045,HH00647,ACCT001946
CRM00002349,Meeting,2025-08-17 00:00:00,Meeting with HH00645,Prospecting activity for new household acquisition.,Not Interested,Create opportunity,Active,ADV0045,HH00645,ACCT001941
CRM00002350,Call,2025-02-25 00:00:00,Call with HH00646,Reviewed retirement income needs and cash balance.,Interested,Discuss with manager,Active,ADV0045,HH00646,ACCT001943
CRM00002351,Client Review,2024-04-18 00:00:00,Client Review with HH00646,Follow-up required on fixed income allocation.,No Response,Discuss with manager,Active,ADV0045,HH00646,ACCT001943
CRM00002352,Note,2023-05-22 00:00:00,Note with HH00649,No recent engagement; requires proactive outreach.,Not Interested,No action,Active,ADV0045,HH00649,ACCT001953
CRM00002353,Call,2024-10-21 00:00:00,Call with HH00647,No recent engagement; requires proactive outreach.,Interested,Send material,Active,ADV0045,HH00647,ACCT001947
CRM00002354,Note,2024-10-04 00:00:00,Note with HH00648,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Discuss with manager,Active,ADV0045,HH00648,ACCT001949
CRM00002355,Note,2024-11-08 00:00:00,Note with HH00646,Prospecting activity for new household acquisition.,Interested,Create opportunity,Active,ADV0045,HH00646,ACCT001943
CRM00002356,Client Review,2025-03-13 00:00:00,Client Review with HH00645,Reviewed retirement income needs and cash balance.,Not Interested,Send material,Active,ADV0045,HH00645,ACCT001941
CRM00002357,Note,2023-10-12 00:00:00,Note with HH00645,Reviewed retirement income needs and cash balance.,Interested,Send material,Active,ADV0045,HH00645,ACCT001940
CRM00002358,Client Review,2024-10-05 00:00:00,Client Review with HH00646,Discussed managed account review and client goals.,Scheduled Follow-up,Send material,Active,ADV0045,HH00646,ACCT001943
CRM00002359,Meeting,2023-01-09 00:00:00,Meeting with HH00648,No recent engagement; requires proactive outreach.,Completed,Send material,Active,ADV0045,HH00648,ACCT001948
CRM00002360,Client Review,2023-06-16 00:00:00,Client Review with HH00646,Prospecting activity for new household acquisition.,Not Interested,Create opportunity,Active,ADV0045,HH00646,ACCT001944
CRM00002361,Prospecting,2025-03-05 00:00:00,Prospecting with HH00648,Discussed managed account review and client goals.,Completed,Send material,Active,ADV0045,HH00648,ACCT001949
CRM00002362,Follow-up,2023-09-20 00:00:00,Follow-up with HH00641,No recent engagement; requires proactive outreach.,Completed,Create opportunity,Active,ADV0045,HH00641,ACCT001930
CRM00002363,Task,2023-09-04 00:00:00,Task with HH00645,Client expressed interest in tax-aware investment approach.,Not Interested,Create opportunity,Active,ADV0045,HH00645,ACCT001940
CRM00002364,Email,2025-07-02 00:00:00,Email with HH00644,Discussed managed account review and client goals.,Completed,Create opportunity,Active,ADV0045,HH00644,ACCT001939
CRM00002365,Follow-up,2024-07-24 00:00:00,Follow-up with HH00642,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0045,HH00642,ACCT001933
CRM00002366,Task,2025-03-19 00:00:00,Task with HH00644,Prospecting activity for new household acquisition.,No Response,No action,Active,ADV0045,HH00644,ACCT001938
CRM00002367,Email,2025-07-20 00:00:00,Email with HH00644,Discussed managed account review and client goals.,Not Interested,No action,Active,ADV0045,HH00644,ACCT001939
CRM00002368,Email,2024-09-11 00:00:00,Email with HH00645,Client expressed interest in tax-aware investment approach.,No Response,Schedule review,Active,ADV0045,HH00645,ACCT001940
CRM00002369,Client Review,2024-07-18 00:00:00,Client Review with HH00645,Follow-up required on fixed income allocation.,Interested,No action,Active,ADV0045,HH00645,ACCT001940
CRM00002370,Prospecting,2023-08-20 00:00:00,Prospecting with HH00642,No recent engagement; requires proactive outreach.,Completed,No action,Active,ADV0045,HH00642,ACCT001934
CRM00002371,Follow-up,2025-03-01 00:00:00,Follow-up with HH00641,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0045,HH00641,ACCT001930
CRM00002372,Follow-up,2025-07-07 00:00:00,Follow-up with HH00648,Prospecting activity for new household acquisition.,No Response,Schedule review,Active,ADV0045,HH00648,ACCT001948
CRM00002373,Call,2024-11-19 00:00:00,Call with HH00647,Follow-up required on fixed income allocation.,Completed,Schedule review,Active,ADV0045,HH00647,ACCT001946
CRM00002374,Prospecting,2024-10-14 00:00:00,Prospecting with HH00647,Reviewed retirement income needs and cash balance.,No Response,No action,Active,ADV0045,HH00647,ACCT001946
CRM00002375,Email,2023-12-03 00:00:00,Email with HH00647,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Create opportunity,Active,ADV0045,HH00647,ACCT001947
CRM00002376,Client Review,2025-09-03 00:00:00,Client Review with HH00646,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0045,HH00646,ACCT001943
CRM00002377,Client Review,2024-04-06 00:00:00,Client Review with HH00649,Client expressed interest in tax-aware investment approach.,No Response,Discuss with manager,Active,ADV0045,HH00649,ACCT001953
CRM00002378,Prospecting,2024-11-09 00:00:00,Prospecting with HH00643,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0045,HH00643,ACCT001937
CRM00002379,Prospecting,2023-01-16 00:00:00,Prospecting with HH00648,Follow-up required on fixed income allocation.,Scheduled Follow-up,No action,Active,ADV0045,HH00648,ACCT001950
CRM00002380,Task,2024-02-26 00:00:00,Task with HH00645,Follow-up required on fixed income allocation.,Scheduled Follow-up,Send material,Active,ADV0045,HH00645,ACCT001940
CRM00002381,Prospecting,2024-12-24 00:00:00,Prospecting with HH00641,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Discuss with manager,Active,ADV0045,HH00641,ACCT001930
CRM00002382,Client Review,2023-09-19 00:00:00,Client Review with HH00644,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,Send material,Active,ADV0045,HH00644,ACCT001939
CRM00002383,Follow-up,2023-09-16 00:00:00,Follow-up with HH00641,Follow-up required on fixed income allocation.,Interested,Schedule review,Active,ADV0045,HH00641,ACCT001929
CRM00002384,Prospecting,2025-11-13 00:00:00,Prospecting with HH00644,Client expressed interest in tax-aware investment approach.,Interested,Create opportunity,Active,ADV0045,HH00644,ACCT001939
CRM00002385,Prospecting,2025-02-06 00:00:00,Prospecting with HH00649,No recent engagement; requires proactive outreach.,Not Interested,No action,Active,ADV0045,HH00649,ACCT001951
CRM00002386,Prospecting,2023-06-23 00:00:00,Prospecting with HH00647,Discussed managed account review and client goals.,Not Interested,Discuss with manager,Active,ADV0045,HH00647,ACCT001946
CRM00002387,Client Review,2024-02-10 00:00:00,Client Review with HH00650,Prospecting activity for new household acquisition.,Completed,Create opportunity,Active,ADV0045,HH00650,ACCT001954
CRM00002388,Email,2023-04-22 00:00:00,Email with HH00649,Discussed managed account review and client goals.,Completed,No action,Active,ADV0045,HH00649,ACCT001953
CRM00002389,Prospecting,2024-04-13 00:00:00,Prospecting with HH00650,Discussed managed account review and client goals.,Completed,Create opportunity,Active,ADV0045,HH00650,ACCT001956
CRM00002390,Email,2025-01-20 00:00:00,Email with HH00656,Discussed managed account review and client goals.,Interested,Create opportunity,Active,ADV0046,HH00656,ACCT001972
CRM00002391,Call,2023-08-04 00:00:00,Call with HH00663,Reviewed retirement income needs and cash balance.,Not Interested,Schedule review,Active,ADV0046,HH00663,ACCT001991
CRM00002392,Client Review,2025-03-02 00:00:00,Client Review with HH00663,Follow-up required on fixed income allocation.,No Response,No action,Active,ADV0046,HH00663,ACCT001993
CRM00002393,Follow-up,2023-06-12 00:00:00,Follow-up with HH00664,Prospecting activity for new household acquisition.,Not Interested,Discuss with manager,Active,ADV0046,HH00664,ACCT001994
CRM00002394,Client Review,2023-07-03 00:00:00,Client Review with HH00662,No recent engagement; requires proactive outreach.,Not Interested,Schedule review,Active,ADV0046,HH00662,ACCT001990
CRM00002395,Note,2024-03-14 00:00:00,Note with HH00654,Prospecting activity for new household acquisition.,No Response,Schedule review,Active,ADV0046,HH00654,ACCT001967
CRM00002396,Call,2023-10-17 00:00:00,Call with HH00657,Prospecting activity for new household acquisition.,Not Interested,Discuss with manager,Active,ADV0046,HH00657,ACCT001977
CRM00002397,Prospecting,2023-04-12 00:00:00,Prospecting with HH00661,Prospecting activity for new household acquisition.,No Response,No action,Active,ADV0046,HH00661,ACCT001988
CRM00002398,Meeting,2023-05-10 00:00:00,Meeting with HH00663,Follow-up required on fixed income allocation.,No Response,Discuss with manager,Active,ADV0046,HH00663,ACCT001991
CRM00002399,Prospecting,2023-09-14 00:00:00,Prospecting with HH00651,Reviewed retirement income needs and cash balance.,No Response,Discuss with manager,Active,ADV0046,HH00651,ACCT001959
CRM00002400,Prospecting,2024-02-03 00:00:00,Prospecting with HH00662,Reviewed retirement income needs and cash balance.,Interested,Create opportunity,Active,ADV0046,HH00662,ACCT001990
CRM00002401,Note,2025-03-05 00:00:00,Note with HH00655,Reviewed retirement income needs and cash balance.,Not Interested,Discuss with manager,Active,ADV0046,HH00655,ACCT001968
CRM00002402,Follow-up,2024-07-12 00:00:00,Follow-up with HH00662,Discussed managed account review and client goals.,Completed,Discuss with manager,Active,ADV0046,HH00662,ACCT001990
CRM00002403,Email,2025-05-25 00:00:00,Email with HH00654,Reviewed retirement income needs and cash balance.,Not Interested,Send material,Active,ADV0046,HH00654,ACCT001966
CRM00002404,Task,2025-09-20 00:00:00,Task with HH00659,Reviewed retirement income needs and cash balance.,Interested,Send material,Active,ADV0046,HH00659,ACCT001982
CRM00002405,Client Review,2023-09-02 00:00:00,Client Review with HH00652,Discussed managed account review and client goals.,Scheduled Follow-up,No action,Active,ADV0046,HH00652,ACCT001960
CRM00002406,Client Review,2024-01-09 00:00:00,Client Review with HH00659,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,No action,Active,ADV0046,HH00659,ACCT001981
CRM00002407,Call,2025-12-13 00:00:00,Call with HH00661,Reviewed retirement income needs and cash balance.,Not Interested,No action,Active,ADV0046,HH00661,ACCT001987
CRM00002408,Follow-up,2023-09-10 00:00:00,Follow-up with HH00658,Discussed managed account review and client goals.,Completed,Discuss with manager,Active,ADV0046,HH00658,ACCT001978
CRM00002409,Call,2024-11-23 00:00:00,Call with HH00664,Prospecting activity for new household acquisition.,Not Interested,Discuss with manager,Active,ADV0046,HH00664,ACCT001994
CRM00002410,Prospecting,2024-12-26 00:00:00,Prospecting with HH00662,Reviewed retirement income needs and cash balance.,Completed,Discuss with manager,Active,ADV0046,HH00662,ACCT001989
CRM00002411,Prospecting,2024-10-19 00:00:00,Prospecting with HH00661,Follow-up required on fixed income allocation.,Completed,No action,Active,ADV0046,HH00661,ACCT001987
CRM00002412,Follow-up,2025-07-11 00:00:00,Follow-up with HH00662,Prospecting activity for new household acquisition.,Completed,Schedule review,Active,ADV0046,HH00662,ACCT001990
CRM00002413,Email,2025-03-06 00:00:00,Email with HH00651,Prospecting activity for new household acquisition.,Completed,Create opportunity,Active,ADV0046,HH00651,ACCT001959
CRM00002414,Prospecting,2025-08-09 00:00:00,Prospecting with HH00659,Client expressed interest in tax-aware investment approach.,No Response,Schedule review,Active,ADV0046,HH00659,ACCT001981
CRM00002415,Meeting,2023-04-08 00:00:00,Meeting with HH00655,Reviewed retirement income needs and cash balance.,Completed,Create opportunity,Active,ADV0046,HH00655,ACCT001970
CRM00002416,Client Review,2025-11-10 00:00:00,Client Review with HH00658,Reviewed retirement income needs and cash balance.,Completed,Send material,Active,ADV0046,HH00658,ACCT001979
CRM00002417,Email,2024-09-20 00:00:00,Email with HH00664,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Discuss with manager,Active,ADV0046,HH00664,ACCT001995
CRM00002418,Client Review,2025-07-16 00:00:00,Client Review with HH00661,Reviewed retirement income needs and cash balance.,Interested,Send material,Active,ADV0046,HH00661,ACCT001987
CRM00002419,Call,2025-07-24 00:00:00,Call with HH00651,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Create opportunity,Active,ADV0046,HH00651,ACCT001957
CRM00002420,Email,2023-08-12 00:00:00,Email with HH00653,Client expressed interest in tax-aware investment approach.,Interested,Create opportunity,Active,ADV0046,HH00653,ACCT001965
CRM00002421,Client Review,2023-01-22 00:00:00,Client Review with HH00658,Client expressed interest in tax-aware investment approach.,Completed,No action,Active,ADV0046,HH00658,ACCT001979
CRM00002422,Prospecting,2025-07-14 00:00:00,Prospecting with HH00651,Discussed managed account review and client goals.,Completed,Create opportunity,Active,ADV0046,HH00651,ACCT001959
CRM00002423,Task,2023-08-02 00:00:00,Task with HH00656,Discussed managed account review and client goals.,Completed,Discuss with manager,Active,ADV0046,HH00656,ACCT001971
CRM00002424,Meeting,2025-01-07 00:00:00,Meeting with HH00661,Client expressed interest in tax-aware investment approach.,No Response,Discuss with manager,Active,ADV0046,HH00661,ACCT001988
CRM00002425,Call,2024-01-17 00:00:00,Call with HH00661,Reviewed retirement income needs and cash balance.,Not Interested,Create opportunity,Active,ADV0046,HH00661,ACCT001988
CRM00002426,Follow-up,2023-05-10 00:00:00,Follow-up with HH00658,Prospecting activity for new household acquisition.,Scheduled Follow-up,Send material,Active,ADV0046,HH00658,ACCT001978
CRM00002427,Follow-up,2023-07-21 00:00:00,Follow-up with HH00655,No recent engagement; requires proactive outreach.,Not Interested,Discuss with manager,Active,ADV0046,HH00655,ACCT001969
CRM00002428,Meeting,2025-08-16 00:00:00,Meeting with HH00654,Client expressed interest in tax-aware investment approach.,Completed,Create opportunity,Active,ADV0046,HH00654,ACCT001967
CRM00002429,Follow-up,2024-09-01 00:00:00,Follow-up with HH00651,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Send material,Active,ADV0046,HH00651,ACCT001959
CRM00002430,Call,2025-08-05 00:00:00,Call with HH00655,Follow-up required on fixed income allocation.,Not Interested,Create opportunity,Active,ADV0046,HH00655,ACCT001969
CRM00002431,Note,2025-04-12 00:00:00,Note with HH00653,Follow-up required on fixed income allocation.,Scheduled Follow-up,Discuss with manager,Active,ADV0046,HH00653,ACCT001965
CRM00002432,Task,2024-09-04 00:00:00,Task with HH00656,Reviewed retirement income needs and cash balance.,Not Interested,Send material,Active,ADV0046,HH00656,ACCT001972
CRM00002433,Meeting,2023-02-25 00:00:00,Meeting with HH00652,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0046,HH00652,ACCT001962
CRM00002434,Email,2023-09-11 00:00:00,Email with HH00664,Client expressed interest in tax-aware investment approach.,Not Interested,Create opportunity,Active,ADV0046,HH00664,ACCT001994
CRM00002435,Email,2025-03-01 00:00:00,Email with HH00662,Prospecting activity for new household acquisition.,Not Interested,Discuss with manager,Active,ADV0046,HH00662,ACCT001989
CRM00002436,Prospecting,2023-08-04 00:00:00,Prospecting with HH00651,Reviewed retirement income needs and cash balance.,Interested,Schedule review,Active,ADV0046,HH00651,ACCT001957
CRM00002437,Task,2023-11-05 00:00:00,Task with HH00655,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0046,HH00655,ACCT001968
CRM00002438,Email,2023-03-03 00:00:00,Email with HH00661,Client expressed interest in tax-aware investment approach.,No Response,No action,Active,ADV0046,HH00661,ACCT001987
CRM00002439,Email,2023-06-26 00:00:00,Email with HH00664,Reviewed retirement income needs and cash balance.,Interested,Discuss with manager,Active,ADV0046,HH00664,ACCT001996
CRM00002440,Client Review,2025-09-22 00:00:00,Client Review with HH00656,Reviewed retirement income needs and cash balance.,Completed,No action,Active,ADV0046,HH00656,ACCT001972
CRM00002441,Follow-up,2024-05-17 00:00:00,Follow-up with HH00654,Discussed managed account review and client goals.,Completed,Schedule review,Active,ADV0046,HH00654,ACCT001967
CRM00002442,Follow-up,2023-05-04 00:00:00,Follow-up with HH00662,Discussed managed account review and client goals.,Interested,Schedule review,Active,ADV0046,HH00662,ACCT001989
CRM00002443,Meeting,2024-12-11 00:00:00,Meeting with HH00669,Discussed managed account review and client goals.,No Response,No action,Active,ADV0047,HH00669,ACCT002015
CRM00002444,Call,2023-12-23 00:00:00,Call with HH00666,Follow-up required on fixed income allocation.,No Response,Send material,Active,ADV0047,HH00666,ACCT002002
CRM00002445,Call,2023-04-09 00:00:00,Call with HH00668,Discussed managed account review and client goals.,Completed,Create opportunity,Active,ADV0047,HH00668,ACCT002009
CRM00002446,Call,2025-02-16 00:00:00,Call with HH00665,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Discuss with manager,Active,ADV0047,HH00665,ACCT001999
CRM00002447,Meeting,2023-05-26 00:00:00,Meeting with HH00666,Client expressed interest in tax-aware investment approach.,Interested,Send material,Active,ADV0047,HH00666,ACCT002002
CRM00002448,Prospecting,2025-08-05 00:00:00,Prospecting with HH00672,Discussed managed account review and client goals.,Scheduled Follow-up,Schedule review,Active,ADV0047,HH00672,ACCT002024
CRM00002449,Prospecting,2025-12-11 00:00:00,Prospecting with HH00672,No recent engagement; requires proactive outreach.,Interested,Discuss with manager,Active,ADV0047,HH00672,ACCT002022
CRM00002450,Email,2025-06-20 00:00:00,Email with HH00668,Follow-up required on fixed income allocation.,Not Interested,Send material,Active,ADV0047,HH00668,ACCT002011
CRM00002451,Prospecting,2023-03-24 00:00:00,Prospecting with HH00666,No recent engagement; requires proactive outreach.,Interested,Discuss with manager,Active,ADV0047,HH00666,ACCT002001
CRM00002452,Call,2024-06-18 00:00:00,Call with HH00665,Prospecting activity for new household acquisition.,Completed,Schedule review,Active,ADV0047,HH00665,ACCT002000
CRM00002453,Task,2023-10-09 00:00:00,Task with HH00669,Reviewed retirement income needs and cash balance.,Not Interested,Send material,Active,ADV0047,HH00669,ACCT002014
CRM00002454,Prospecting,2025-10-11 00:00:00,Prospecting with HH00672,Prospecting activity for new household acquisition.,No Response,Send material,Active,ADV0047,HH00672,ACCT002024
CRM00002455,Follow-up,2023-09-06 00:00:00,Follow-up with HH00668,Prospecting activity for new household acquisition.,Scheduled Follow-up,Create opportunity,Active,ADV0047,HH00668,ACCT002012
CRM00002456,Meeting,2024-12-01 00:00:00,Meeting with HH00671,Prospecting activity for new household acquisition.,Interested,Create opportunity,Active,ADV0047,HH00671,ACCT002020
CRM00002457,Client Review,2023-12-25 00:00:00,Client Review with HH00672,Discussed managed account review and client goals.,Not Interested,Schedule review,Active,ADV0047,HH00672,ACCT002021
CRM00002458,Task,2023-01-05 00:00:00,Task with HH00667,Client expressed interest in tax-aware investment approach.,No Response,Send material,Active,ADV0047,HH00667,ACCT002008
CRM00002459,Note,2025-09-07 00:00:00,Note with HH00670,No recent engagement; requires proactive outreach.,Not Interested,No action,Active,ADV0047,HH00670,ACCT002017
CRM00002460,Call,2024-03-20 00:00:00,Call with HH00672,Follow-up required on fixed income allocation.,Completed,Schedule review,Active,ADV0047,HH00672,ACCT002024
CRM00002461,Prospecting,2025-03-12 00:00:00,Prospecting with HH00672,Reviewed retirement income needs and cash balance.,Completed,Schedule review,Active,ADV0047,HH00672,ACCT002024
CRM00002462,Task,2025-02-21 00:00:00,Task with HH00674,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0047,HH00674,ACCT002028
CRM00002463,Meeting,2024-08-13 00:00:00,Meeting with HH00674,Client expressed interest in tax-aware investment approach.,Completed,Send material,Active,ADV0047,HH00674,ACCT002029
CRM00002464,Note,2025-02-22 00:00:00,Note with HH00671,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Create opportunity,Active,ADV0047,HH00671,ACCT002019
CRM00002465,Follow-up,2023-01-21 00:00:00,Follow-up with HH00674,Discussed managed account review and client goals.,Not Interested,Create opportunity,Active,ADV0047,HH00674,ACCT002029
CRM00002466,Prospecting,2025-11-03 00:00:00,Prospecting with HH00667,Reviewed retirement income needs and cash balance.,Completed,No action,Active,ADV0047,HH00667,ACCT002007
CRM00002467,Task,2023-12-07 00:00:00,Task with HH00665,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Discuss with manager,Active,ADV0047,HH00665,ACCT001998
CRM00002468,Prospecting,2025-07-19 00:00:00,Prospecting with HH00670,Follow-up required on fixed income allocation.,Completed,No action,Active,ADV0047,HH00670,ACCT002018
CRM00002469,Call,2025-12-25 00:00:00,Call with HH00666,No recent engagement; requires proactive outreach.,Not Interested,Discuss with manager,Active,ADV0047,HH00666,ACCT002001
CRM00002470,Email,2023-07-07 00:00:00,Email with HH00670,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0047,HH00670,ACCT002018
CRM00002471,Follow-up,2025-04-08 00:00:00,Follow-up with HH00673,Prospecting activity for new household acquisition.,Interested,Schedule review,Active,ADV0047,HH00673,ACCT002026
CRM00002472,Client Review,2024-05-25 00:00:00,Client Review with HH00673,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0047,HH00673,ACCT002025
CRM00002473,Follow-up,2024-02-04 00:00:00,Follow-up with HH00672,Discussed managed account review and client goals.,Interested,Create opportunity,Active,ADV0047,HH00672,ACCT002022
CRM00002474,Task,2025-12-22 00:00:00,Task with HH00665,Client expressed interest in tax-aware investment approach.,Not Interested,No action,Active,ADV0047,HH00665,ACCT001998
CRM00002475,Follow-up,2024-07-11 00:00:00,Follow-up with HH00665,Prospecting activity for new household acquisition.,No Response,Discuss with manager,Active,ADV0047,HH00665,ACCT001998
CRM00002476,Task,2025-08-17 00:00:00,Task with HH00671,Discussed managed account review and client goals.,No Response,Discuss with manager,Active,ADV0047,HH00671,ACCT002019
CRM00002477,Meeting,2025-11-09 00:00:00,Meeting with HH00666,No recent engagement; requires proactive outreach.,Interested,No action,Active,ADV0047,HH00666,ACCT002001
CRM00002478,Call,2024-01-18 00:00:00,Call with HH00671,Prospecting activity for new household acquisition.,Interested,Create opportunity,Active,ADV0047,HH00671,ACCT002020
CRM00002479,Task,2024-06-26 00:00:00,Task with HH00667,Reviewed retirement income needs and cash balance.,Completed,Discuss with manager,Active,ADV0047,HH00667,ACCT002005
CRM00002480,Call,2023-12-01 00:00:00,Call with HH00666,Client expressed interest in tax-aware investment approach.,Interested,Create opportunity,Active,ADV0047,HH00666,ACCT002002
CRM00002481,Meeting,2025-10-06 00:00:00,Meeting with HH00674,No recent engagement; requires proactive outreach.,No Response,Create opportunity,Active,ADV0047,HH00674,ACCT002029
CRM00002482,Email,2024-10-24 00:00:00,Email with HH00670,Reviewed retirement income needs and cash balance.,Not Interested,Discuss with manager,Active,ADV0047,HH00670,ACCT002017
CRM00002483,Task,2024-01-15 00:00:00,Task with HH00667,Reviewed retirement income needs and cash balance.,Completed,No action,Active,ADV0047,HH00667,ACCT002006
CRM00002484,Follow-up,2025-09-16 00:00:00,Follow-up with HH00672,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0047,HH00672,ACCT002024
CRM00002485,Call,2025-06-14 00:00:00,Call with HH00668,Discussed managed account review and client goals.,Interested,Send material,Active,ADV0047,HH00668,ACCT002011
CRM00002486,Task,2024-03-01 00:00:00,Task with HH00670,Follow-up required on fixed income allocation.,Scheduled Follow-up,Schedule review,Active,ADV0047,HH00670,ACCT002018
CRM00002487,Meeting,2023-01-02 00:00:00,Meeting with HH00672,Follow-up required on fixed income allocation.,Interested,Schedule review,Active,ADV0047,HH00672,ACCT002022
CRM00002488,Prospecting,2024-04-09 00:00:00,Prospecting with HH00667,No recent engagement; requires proactive outreach.,No Response,Create opportunity,Active,ADV0047,HH00667,ACCT002008
CRM00002489,Task,2025-02-11 00:00:00,Task with HH00674,No recent engagement; requires proactive outreach.,Interested,Create opportunity,Active,ADV0047,HH00674,ACCT002028
CRM00002490,Follow-up,2023-04-20 00:00:00,Follow-up with HH00674,No recent engagement; requires proactive outreach.,Completed,Schedule review,Active,ADV0047,HH00674,ACCT002028
CRM00002491,Prospecting,2023-09-20 00:00:00,Prospecting with HH00665,No recent engagement; requires proactive outreach.,Interested,Discuss with manager,Active,ADV0047,HH00665,ACCT001998
CRM00002492,Note,2023-01-19 00:00:00,Note with HH00674,Reviewed retirement income needs and cash balance.,Interested,Discuss with manager,Active,ADV0047,HH00674,ACCT002028
CRM00002493,Email,2023-04-04 00:00:00,Email with HH00669,Client expressed interest in tax-aware investment approach.,Not Interested,Create opportunity,Active,ADV0047,HH00669,ACCT002016
CRM00002494,Task,2023-08-02 00:00:00,Task with HH00667,Client expressed interest in tax-aware investment approach.,Completed,Schedule review,Active,ADV0047,HH00667,ACCT002005
CRM00002495,Task,2023-09-06 00:00:00,Task with HH00667,Client expressed interest in tax-aware investment approach.,Completed,Discuss with manager,Active,ADV0047,HH00667,ACCT002006
CRM00002496,Meeting,2024-01-11 00:00:00,Meeting with HH00671,No recent engagement; requires proactive outreach.,Completed,Create opportunity,Active,ADV0047,HH00671,ACCT002020
CRM00002497,Meeting,2024-03-05 00:00:00,Meeting with HH00667,Prospecting activity for new household acquisition.,Completed,Schedule review,Active,ADV0047,HH00667,ACCT002005
CRM00002498,Follow-up,2025-09-11 00:00:00,Follow-up with HH00682,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,Create opportunity,Active,ADV0048,HH00682,ACCT002053
CRM00002499,Follow-up,2024-11-02 00:00:00,Follow-up with HH00680,Client expressed interest in tax-aware investment approach.,Completed,Send material,Active,ADV0048,HH00680,ACCT002045
CRM00002500,Follow-up,2023-04-21 00:00:00,Follow-up with HH00679,Follow-up required on fixed income allocation.,Not Interested,Discuss with manager,Active,ADV0048,HH00679,ACCT002043
CRM00002501,Follow-up,2023-11-02 00:00:00,Follow-up with HH00688,Follow-up required on fixed income allocation.,Not Interested,Schedule review,Active,ADV0048,HH00688,ACCT002073
CRM00002502,Meeting,2025-06-13 00:00:00,Meeting with HH00676,No recent engagement; requires proactive outreach.,Not Interested,Create opportunity,Active,ADV0048,HH00676,ACCT002034
CRM00002503,Email,2023-06-15 00:00:00,Email with HH00688,Client expressed interest in tax-aware investment approach.,Completed,Discuss with manager,Active,ADV0048,HH00688,ACCT002074
CRM00002504,Meeting,2025-12-16 00:00:00,Meeting with HH00678,Prospecting activity for new household acquisition.,Scheduled Follow-up,Schedule review,Active,ADV0048,HH00678,ACCT002040
CRM00002505,Follow-up,2023-01-09 00:00:00,Follow-up with HH00677,Reviewed retirement income needs and cash balance.,Not Interested,No action,Active,ADV0048,HH00677,ACCT002037
CRM00002506,Follow-up,2024-07-15 00:00:00,Follow-up with HH00684,Reviewed retirement income needs and cash balance.,Interested,No action,Active,ADV0048,HH00684,ACCT002061
CRM00002507,Task,2024-12-18 00:00:00,Task with HH00678,Client expressed interest in tax-aware investment approach.,Not Interested,Schedule review,Active,ADV0048,HH00678,ACCT002042
CRM00002508,Email,2025-01-04 00:00:00,Email with HH00683,Discussed managed account review and client goals.,Interested,Create opportunity,Active,ADV0048,HH00683,ACCT002059
CRM00002509,Client Review,2025-03-09 00:00:00,Client Review with HH00683,Client expressed interest in tax-aware investment approach.,Completed,Create opportunity,Active,ADV0048,HH00683,ACCT002057
CRM00002510,Client Review,2023-09-15 00:00:00,Client Review with HH00683,Follow-up required on fixed income allocation.,Not Interested,Discuss with manager,Active,ADV0048,HH00683,ACCT002058
CRM00002511,Client Review,2025-05-18 00:00:00,Client Review with HH00683,Follow-up required on fixed income allocation.,No Response,No action,Active,ADV0048,HH00683,ACCT002059
CRM00002512,Call,2025-08-14 00:00:00,Call with HH00682,No recent engagement; requires proactive outreach.,Scheduled Follow-up,No action,Active,ADV0048,HH00682,ACCT002052
CRM00002513,Follow-up,2025-11-05 00:00:00,Follow-up with HH00675,Follow-up required on fixed income allocation.,Not Interested,Send material,Active,ADV0048,HH00675,ACCT002031
